This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201703 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
199007,   -1.90,   -3.29,   -0.02,   -0.44,    3.09,    0.68
199008,  -10.15,   -3.88,    1.63,   -0.43,    3.02,    0.66
199009,   -6.12,   -3.77,    0.74,    0.02,    3.73,    0.60
199010,   -1.92,   -5.10,    0.29,    2.94,   -0.44,    0.68
199011,    6.35,   -0.06,   -3.11,    0.81,   -4.74,    0.57
199012,    2.46,    0.65,   -1.56,    2.91,   -2.04,    0.60
199101,    4.69,    3.89,   -1.84,    1.48,   -4.10,    0.52
199102,    7.19,    3.93,   -0.54,   -0.29,   -0.18,    0.48
199103,    2.65,    3.84,   -1.24,   -0.37,   -1.01,    0.44
199104,   -0.28,    0.35,    1.40,    0.64,    0.70,    0.53
199105,    3.65,    0.17,   -0.56,    2.17,   -2.46,    0.47
199106,   -4.94,    0.15,    1.21,    1.59,    0.63,    0.42
199107,    4.24,   -0.96,   -1.27,    1.47,   -1.41,    0.49
199108,    2.32,    1.48,   -0.79,    0.93,   -0.55,    0.46
199109,   -1.59,    1.55,   -0.98,   -1.78,    0.15,    0.46
199110,    1.29,    0.90,   -0.44,   -1.89,   -0.31,    0.42
199111,   -4.19,   -0.88,   -1.91,    0.90,    0.13,    0.39
199112,   10.84,   -2.39,   -4.04,    3.82,   -3.13,    0.38
199201,   -0.59,    9.25,    4.50,   -1.34,    3.19,    0.34
199202,    1.09,    1.38,    6.36,    0.27,    2.03,    0.28
199203,   -2.66,   -0.90,    3.66,   -0.13,    1.94,    0.34
199204,    1.07,   -5.74,    4.28,    1.74,    2.22,    0.32
199205,    0.30,    0.21,    1.27,   -1.03,    0.42,    0.28
199206,   -2.34,   -2.71,    3.41,   -0.06,    1.07,    0.32
199207,    3.77,   -0.64,   -0.53,    1.23,   -0.81,    0.31
199208,   -2.38,   -0.42,   -1.04,    3.74,   -1.58,    0.26
199209,    1.19,    0.51,   -0.21,    1.71,   -0.61,    0.26
199210,    1.02,    2.05,   -2.10,    1.37,   -0.88,    0.23
199211,    4.13,    3.91,   -1.48,   -0.70,   -1.72,    0.23
199212,    1.53,    1.63,    2.51,   -0.57,    0.81,    0.28
199301,    0.93,    2.09,    5.89,   -1.66,    2.90,    0.23
199302,    0.12,   -3.47,    6.42,   -0.50,    4.08,    0.22
199303,    2.30,    0.06,    1.24,   -0.31,    0.87,    0.25
199304,   -3.05,   -0.85,    2.61,   -3.55,    1.42,    0.24
199305,    2.89,    1.88,   -3.41,   -0.02,   -1.00,    0.22
199306,    0.31,    0.10,    2.61,   -0.93,    1.18,    0.25
199307,   -0.34,    0.90,    3.25,   -2.16,    2.02,    0.24
199308,    3.71,    0.25,   -0.45,   -1.11,   -0.05,    0.25
199309,   -0.12,    3.06,   -0.44,    0.68,   -0.08,    0.26
199310,    1.41,    1.60,   -1.55,   -0.05,    0.60,    0.22
199311,   -1.89,   -1.42,   -0.27,    1.74,   -0.95,    0.25
199312,    1.65,    1.37,    0.57,    0.81,   -0.31,    0.23
199401,    2.87,   -0.16,    2.08,   -2.31,    1.45,    0.25
199402,   -2.55,    2.65,   -1.44,    2.54,   -1.03,    0.21
199403,   -4.78,   -1.02,    1.32,    0.62,    1.27,    0.27
199404,    0.68,   -1.06,    1.68,    0.89,    1.14,    0.27
199405,    0.58,   -2.46,    0.19,    0.91,    0.71,    0.31
199406,   -3.03,   -0.52,    1.68,    1.05,    1.51,    0.31
199407,    2.82,   -1.83,    0.60,   -0.87,    0.13,    0.28
199408,    4.01,    1.24,   -2.82,    0.51,   -1.43,    0.37
199409,   -2.31,    2.65,   -1.91,    0.45,    0.96,    0.37
199410,    1.34,   -2.34,   -1.74,    0.31,   -0.62,    0.38
199411,   -4.04,    0.12,   -0.95,    0.76,   -0.45,    0.37
199412,    0.86,   -0.03,    0.53,    0.29,    0.32,    0.44
199501,    1.80,   -2.73,    0.81,    0.85,   -0.84,    0.42
199502,    3.63,   -0.57,    1.04,    0.55,   -0.32,    0.40
199503,    2.19,   -0.77,   -1.06,   -0.65,    0.18,    0.46
199504,    2.11,   -0.44,    2.25,   -0.58,    1.02,    0.44
199505,    2.90,   -2.03,    1.68,    0.71,    0.09,    0.54
199506,    2.72,    2.95,   -2.27,   -0.57,   -2.43,    0.47
199507,    3.72,    2.12,   -1.69,    0.64,   -1.69,    0.45
199508,    0.55,    1.83,    2.72,   -1.35,    1.64,    0.47
199509,    3.35,   -1.90,   -0.76,    1.25,    0.36,    0.43
